course_name,race_name,off_time,horse_name,win_ppwap,rank
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,13.5,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Flora Of Bermuda (IRE),13.5,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,13.5,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,King Cuan (GB),13.5,11
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,16,15
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Inisherin (GB),16,15
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,20,17
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Iberian (IRE),20,17
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Ten Bob Tony (IRE),22,19
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,22,19
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,No Half Measures (IRE),26,21
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,26,21
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,Witness Stand (GB),28,23
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,28,23
Ascot,Qipco British Champions Sprint Stakes (Group 1),13:05:00,NO NAME,44,25
