course_name,race,time,horse_name,price,trainer,rank
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Hurt You Never (IRE),3.10,Adrian Nicholls,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Monsieur Kodi (IRE),3.10,R A Fahey,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Bosh (IRE),3.10,M Dods,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,R A Fahey,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,Ancient Times (USA),3.10,Harry Eustace,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,M & D Easterby,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,Darryll Holland,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,T D Barron,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,M Appleby,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,Harry Eustace,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,Mrs R Carr,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,Adrian Nicholls,1
Catterick,William Hill Each Way Extra Veterans' Handica,12:55:00,,3.10,D McCain Jnr,1
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Lazzat (FR),5.40,J Reynier,1
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,5.40,J Reynier,1
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Montassib (GB),7.60,W J Haggas,3
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,7.60,W J Haggas,3
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,8.00,J R Fanshawe,5
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Kind Of Blue (GB),8.00,J R Fanshawe,5
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Big Mojo (IRE),10.00,M Appleby,7
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,10.00,M Appleby,7
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,13.00,F Graffard,9
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Rayevka (IRE),13.00,F Graffard,9
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,13.50,P Twomey,11
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,13.50,A M Balding,11
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,King Cuan (GB),13.50,P Twomey,11
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Flora Of Bermuda (IRE),13.50,A M Balding,11
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Inisherin (GB),16.00,K A Ryan,15
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,16.00,K A Ryan,15
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,20.00,C Hills,17
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Iberian (IRE),20.00,C Hills,17
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,22.00,E Walker,19
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Ten Bob Tony (IRE),22.00,E Walker,19
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,26.00,R Hughes,21
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,No Half Measures (IRE),26.00,R Hughes,21
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,28.00,Dr R Newland & J Insole,23
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,Witness Stand (GB),28.00,Dr R Newland & J Insole,23
Ascot,Qipco British Champions Sprint Stakes (Group ,13:05:00,,44.00,T D Easterby,25
